latitude;longitude;GoPlaceIt_CL;PortalInmobiliario;Yapo
-33.48421;-70.6513;;;1.0
-33.48412;-70.67968;;;1.0
-33.4822997268785;-70.76417877193974;;;1.0
-33.4812722;-70.7389848;;;1.0
-33.4812614;-70.7389934;;;1.0
-33.4812573;-70.7389968;;;1.0
-33.48086;-70.63387;;;2.0
-33.4803018;-70.7396943;;;1.0
-33.47997;-70.64089;;;1.0
-33.4799667;-70.7399364;;;1.0
-33.4798483;-70.66482540000001;1.0;;
-33.47939;-70.74077;;;6.0
-33.47923298418421;-70.59975880179444;;;1.0
-33.47836;-70.72717;;;1.0
-33.478133;-70.7412095;;;1.0
-33.4779178;-70.5252364;1.0;;
-33.4776675;-70.6435992;2.0;;15.0
-33.47708;-70.62308;;;1.0
-33.4766215;-70.65053660000001;1.0;;
-33.476591;-70.64349;1.0;;
-33.476591;-70.642177;;1.0;
-33.4765358;-70.64180759999999;;2.0;
-33.476493;-70.648165;;1.0;
-33.47646;-70.6473;1.0;;1.0
-33.4764024;-70.6484139;;1.0;1.0
-33.4761716;-70.5994742;;;1.0
-33.4760287;-70.6493716;;2.0;
-33.475895;-70.649013;1.0;1.0;
-33.4758147;-70.6487272;;;4.0
-33.4758115;-70.648728;;1.0;
-33.475811;-70.6487274;;2.0;
-33.4757889;-70.6487999;;1.0;
-33.4757886;-70.6514886;;1.0;
-33.4757729;-70.6487427;;1.0;
-33.4757462;-70.6488419;;1.0;
-33.4757409;-70.6488305;;1.0;1.0
-33.4757386;-70.6488292;5.0;8.0;6.0
-33.4757385;-70.6488266;;5.0;
-33.4757364;-70.6510192;1.0;;
-33.4757156;-70.650444;;2.0;
-33.47564345944899;-70.64863443374634;;;1.0
-33.4756084;-70.7392023;1.0;;
-33.4755401;-70.6510787;1.0;1.0;
-33.475478;-70.649253;1.0;1.0;
-33.475321289782336;-70.64788341522217;;;1.0
-33.4752849;-70.6692073;;1.0;
-33.4752514;-70.6414474;;2.0;
-33.475231;-70.6684709;;1.0;
-33.4750445;-70.6704345;;2.0;
-33.4748459;-70.6511383;;2.0;
-33.47462;-70.65253;;;1.0
-33.4745969;-70.6405635;;1.0;
-33.4745941;-70.6537704;;13.0;
-33.4745933;-70.653768;1.0;;1.0
-33.4745881;-70.6511464;;1.0;
-33.4744873;-70.6724396;;3.0;
-33.474464;-70.651466;1.0;;
-33.4744451;-70.6351316;;1.0;
-33.47434;-70.638304;1.0;;
-33.474232;-70.642624;1.0;;
-33.4742012;-70.6701965;;1.0;
-33.4741666;-70.668807;;4.0;
-33.474161;-70.6701832;;2.0;
-33.4740753;-70.63694;;2.0;
-33.4740562;-70.649437;;2.0;
-33.4739407;-70.6437489;;1.0;
-33.4738644;-70.6421486;;1.0;
-33.4738015;-70.600511;1.0;;
-33.4736105;-70.6373381;;1.0;
-33.4735505;-70.6510755;;2.0;
-33.4735069;-70.6681976;;2.0;
-33.4734955;-70.6524353;;1.0;
-33.4734802;-70.6681824;;1.0;
-33.473477740317165;-70.6684398651123;1.0;;
-33.4733867;-70.6644358;1.0;;1.0
-33.4733756;-70.6325475;1.0;;
-33.4733041;-70.6368642;1.0;2.0;
-33.4732857;-70.6683807;;2.0;
-33.4732836;-70.667889;1.0;2.0;
-33.4731923;-70.6210828;5.0;;
-33.4730988;-70.669426;;3.0;
-33.473070809615;-70.656359340697;1.0;;
-33.473070809614654;-70.65635934069657;;;1.0
-33.4730582;-70.6709238;;1.0;
